id,question1,answer
47,What is the hardest natural substance on Earth?,Diamond is the hardest natural substance on Earth.
48,What is the most common blood type?,The most common blood type is O+.
49,What is the national flower of Japan?,The national flower of Japan is the cherry blossom (sakura).
50,How many wings does a butterfly have?,A butterfly has four wings.
51,What is the powerhouse of the cell?,The powerhouse of the cell is the mitochondrion.
52,What is the chemical symbol for oxygen?,The chemical symbol for oxygen is O.
53,How many players are on a soccer team?,A soccer team has 11 players on the field at a time.
54,What is the main gas found in the Earth's atmosphere?,The main gas in the Earth's atmosphere is nitrogen.
55,What is the speed limit of sound?,The speed of sound in dry air is about 343 meters per second.
56,What is the most commonly used programming language?,Python and JavaScript are among the most commonly used programming languages.
57,Who painted The Starry Night?,Vincent van Gogh painted The Starry Night.
58,What is the color of the sky?,The sky appears blue due to Rayleigh scattering.
59,What is the most common element in the universe?,The most common element in the universe is hydrogen.
60,How many seconds are in a minute?,There are 60 seconds in a minute.
61,What is the largest animal on Earth?,The blue whale is the largest animal on Earth.
62,What is the rarest blood type?,AB negative is the rarest blood type.
63,What is the square root of 144?,The square root of 144 is 12.
64,What is the capital of Canada?,The capital of Canada is Ottawa.
65,How many colors are in a rainbow?,A rainbow has seven colors.
66,What is the name of the closest star to Earth?,The closest star to Earth is the Sun.
67,How many teeth does an adult human have?,An adult human has 32 teeth.
68,What is the hottest planet in the solar system?,Venus is the hottest planet in the solar system.
69,What is the largest island in the world?,Greenland is the largest island in the world.
70,What is the coldest place on Earth?,Antarctica is the coldest place on Earth.
71,What is the meaning of photosynthesis?,Photosynthesis is the process by which plants convert light into energy.
72,What is the capital of Germany?,The capital of Germany is Berlin.
73,What is the meaning of DNA?,DNA stands for Deoxyribonucleic Acid.
74,Who was the first female Prime Minister of India?,Indira Gandhi was the first female Prime Minister of India.
75,What is the name of the largest rainforest?,The Amazon Rainforest is the largest rainforest in the world.
76,How many eyes does a spider have?,Most spiders have eight eyes.
77,What is the fastest bird in the world?,The peregrine falcon is the fastest bird in the world.
78,What is the capital of Brazil?,The capital of Brazil is Brasília.
79,What is the main ingredient in chocolate?,Cocoa beans are the main ingredient in chocolate.
80,What is the largest freshwater lake in the world?,Lake Superior is the largest freshwater lake in the world.
81,Which is the smallest ocean in the world?,The Arctic Ocean is the smallest ocean in the world.
82,Who was the first President of the United States?,George Washington was the first President of the United States.
83,What is the capital of Canada?,The capital of Canada is Ottawa.
84,Which is the longest highway in the world?,The Pan-American Highway is the longest highway in the world.
85,What is the currency of Japan?,The currency of Japan is the Japanese Yen (JPY).
86,What is the main gas found in the Earth's atmosphere?,Nitrogen makes up about 78% of the Earth's atmosphere.
87,Which is the only mammal capable of flight?,Bats are the only mammals capable of true flight.
88,What is the hardest natural substance on Earth?,Diamond is the hardest natural substance.
89,Who wrote the play Romeo and Juliet?,William Shakespeare wrote *Romeo and Juliet*.
90,Which is the largest island in the world?,Greenland is the largest island in the world.
91,What is the name of the first man-made satellite?,Sputnik 1 was the first man-made satellite launched into space.
92,Which planet is closest to the Sun?,Mercury is the closest planet to the Sun.
93,Who painted the Mona Lisa?,Leonardo da Vinci painted the *Mona Lisa*.
94,What is the largest desert in the world?,The Antarctic Desert is the largest desert in the world.
95,How many hearts does an octopus have?,An octopus has three hearts.
96,Who discovered gravity?,Sir Isaac Newton is credited with discovering gravity.
97,What is the fastest land animal?,The cheetah is the fastest land animal.
98,Which part of the human body contains the most bones?,The hands and feet together contain more than half of the body's bones.
99,What is the chemical symbol for gold?,The chemical symbol for gold is Au.
100,Which animal is known as the King of the Jungle?,The lion is known as the King of the Jungle.
101,What is the smallest country in the world?,Vatican City is the smallest country in the world.
102,What is the speed of light?,The speed of light is approximately 299,792,458 meters per second.
103,Which is the second-largest country by area?,Canada is the second-largest country by area.
104,What does the Richter scale measure?,The Richter scale measures the magnitude of earthquakes.
105,What is the main ingredient in glass?,Silica (sand) is the main ingredient in glass.
106,Which is the world's tallest mountain?,Mount Everest is the tallest mountain in the world.
107,What is the largest bird in the world?,The ostrich is the largest bird in the world.
108,Who was the first human in space?,Yuri Gagarin was the first human in space.
109,What is the longest word in English?,Pneumonoultramicroscopicsilicovolcanoconiosis is the longest word in English.
110,Which element has the highest melting point?,Tungsten has the highest melting point.
111,Which sea separates Africa and Europe?,The Mediterranean Sea separates Africa and Europe.
112,What is the capital of Italy?,The capital of Italy is Rome.
113,Who is known as the father of computers?,Charles Babbage is known as the father of computers.
114,What is the chemical symbol for oxygen?,The chemical symbol for oxygen is O.
115,Which bird lays the largest eggs?,The ostrich lays the largest eggs of any bird.
116,Which is the most commonly used programming language?,Python, JavaScript, and C are among the most commonly used programming languages.
117,What is the national animal of India?,The Bengal tiger is the national animal of India.
118,Which river is the longest in the world?,The Nile River is the longest river in the world.
119,Which animal has the strongest bite force?,The saltwater crocodile has the strongest bite force.
120,What is the tallest building in the world?,As of 2024, the Burj Khalifa is the tallest building in the world.
121,What is the capital of France?,The capital of France is Paris.
122,Who was the first person to step on the moon?,Neil Armstrong was the first person to step on the moon.
123,What is the boiling point of water in Fahrenheit?,The boiling point of water is 212°F.
124,Which is the most spoken language in the world?,English is the most widely spoken language, followed by Mandarin Chinese.
125,Which organ in the human body purifies blood?,The kidneys purify blood in the human body.
126,Who invented the World Wide Web?,Tim Berners-Lee invented the World Wide Web.
127,What is the primary source of energy for the Earth?,The Sun is the primary source of energy for the Earth.
128,What does DNA stand for?,DNA stands for Deoxyribonucleic Acid.
129,Which is the most intelligent animal after humans?,Dolphins and chimpanzees are considered the most intelligent animals after humans.
130,Who discovered electricity?,Benjamin Franklin is credited with discovering electricity.
131,Which city is known as the City of Love?,Paris is known as the City of Love.
132,What does ECG stand for in medical terms?,ECG stands for Electrocardiogram.
133,What is the deepest lake in the world?,Lake Baikal in Russia is the deepest lake in the world.
134,Who developed the theory of relativity?,Albert Einstein developed the theory of relativity.
135,What is the chemical formula for table salt?,The chemical formula for table salt is NaCl.
136,Which animal has the longest tongue relative to its body size?,The chameleon has the longest tongue relative to its body size.
137,Which instrument is used to measure blood pressure?,A sphygmomanometer is used to measure blood pressure.
138,What is the rarest blood type?,AB-negative is the rarest blood type.
139,Which country is known for producing the most coffee?,Brazil is the world's largest producer of coffee.
140,Which is the only planet that rotates clockwise?,Venus is the only planet that rotates clockwise.
141,Who discovered radioactivity?,Henri Becquerel discovered radioactivity.
142,What does MRI stand for in medical terms?,MRI stands for Magnetic Resonance Imaging.
143,Which organ in the human body produces insulin?,The pancreas produces insulin.
144,What is the largest flower in the world?,The Rafflesia arnoldii produces the largest flowers in the world.
145,What is the longest war in history?,The Hundred Years' War between England and France lasted 116 years.
146,Which planet has the Great Red Spot?,Jupiter has the Great Red Spot.
147,What is the world's tallest waterfall?,Angel Falls in Venezuela is the world's tallest waterfall.
148,Which is the most common gas in the Sun?,Hydrogen is the most common gas in the Sun.
149,What is the driest desert in the world?,The Atacama Desert in Chile is the driest desert in the world.
150,Who was the first woman to win a Nobel Prize?,Marie Curie was the first woman to win a Nobel Prize.
